branch,test,label,category,objective,avg,error_bar,std,ci95,unit,batch,runs,round_count,rounds_present,rounds_total,min,max,sample_count,sample_avg,sample_std,sample_ci95,sample_min,sample_max,avg_per_batch,cv_percent,inner_std_avg,consistency_error,quality_flags
baseline,BUDDY_FRAGMENT,Buddy Max Allocation,buddy,higher,16384.0,0.0,0.0,0.0,kb,1,1,3,3,3,16384.0,16384.0,0,,0.0,0.0,,,16384.0,0.0,0.0,,repeatable
baseline,COW_FULLWRITE,COW Write 100%,cow,lower,10.0,1.96,1.73,1.96,ticks,20,10,3,3,3,9.0,12.0,30,10.77,1.61,0.58,9.0,14.0,0.5,17.32,0.33,,"high_variation,repeatable"
baseline,COW_NO_ACCESS,COW No Access,cow,lower,156.0,17.68,15.62,17.68,ticks,300,10,3,3,3,146.0,174.0,30,156.83,19.01,6.8,143.0,209.0,0.52,10.01,8.33,,"high_variation,repeatable"
baseline,COW_PARTIAL,COW Write 30%,cow,lower,10.0,1.13,1.0,1.13,ticks,20,10,3,3,3,9.0,11.0,30,10.53,1.38,0.49,9.0,15.0,0.5,10.0,0.33,,"high_variation,repeatable"
baseline,COW_READONLY,COW Read Only,cow,lower,167.0,35.35,31.24,35.35,ticks,300,10,3,3,3,147.0,203.0,30,168.27,26.97,9.65,146.0,228.0,0.5567,18.71,4.0,,"high_variation,repeatable"
baseline,LAZY_FULL,Lazy Access 100%,lazy,lower,4.0,0.0,0.0,0.0,ticks,50,10,3,3,3,4.0,4.0,30,4.47,0.51,0.18,4.0,5.0,0.08,0.0,0.0,,repeatable
baseline,LAZY_HALF,Lazy Access 50%,lazy,lower,4.33,0.65,0.58,0.65,ticks,50,10,3,3,3,4.0,5.0,30,4.7,0.47,0.17,4.0,5.0,0.0866,13.32,0.0,,"high_variation,repeatable"
baseline,LAZY_SPARSE,Lazy Access 1%,lazy,lower,225.33,18.33,16.2,18.33,ticks,2400,10,3,3,3,215.0,244.0,30,226.77,22.91,8.2,211.0,293.0,0.0939,7.19,11.33,,repeatable
baseline,SYS_FREE_PAGES,Free Physical Pages,system,higher,32563.0,0.0,0.0,0.0,pages,1,1,3,3,3,32563.0,32563.0,0,,0.0,0.0,,,32563.0,0.0,0.0,,repeatable
baseline,SYS_TOTAL_PAGES,Total Physical Pages,system,higher,32734.0,0.0,0.0,0.0,pages,1,1,3,3,3,32734.0,32734.0,0,,0.0,0.0,,,32734.0,0.0,0.0,,repeatable
testing,BUDDY_FRAGMENT,Buddy Max Allocation,buddy,higher,16384.0,0.0,0.0,0.0,kb,1,1,3,3,3,16384.0,16384.0,3,16384.0,0.0,0.0,16384.0,16384.0,16384.0,0.0,0.0,,repeatable
testing,COW_FULLWRITE,COW Write 100%,cow,lower,28.67,3.46,3.06,3.46,ticks,20,10,3,3,3,26.0,32.0,30,29.27,3.69,1.32,25.0,39.0,1.4335,10.66,2.0,,"high_variation,repeatable"
testing,COW_NO_ACCESS,COW No Access,cow,lower,9.67,1.31,1.15,1.31,ticks,300,10,3,3,3,9.0,11.0,30,10.03,1.67,0.6,8.0,15.0,0.0322,11.95,0.67,,"high_variation,repeatable"
testing,COW_PARTIAL,COW Write 30%,cow,lower,9.0,0.0,0.0,0.0,ticks,20,10,3,3,3,9.0,9.0,30,9.43,1.07,0.38,8.0,13.0,0.45,0.0,0.33,,repeatable
testing,COW_READONLY,COW Read Only,cow,lower,10.33,0.65,0.58,0.65,ticks,300,10,3,3,3,10.0,11.0,30,10.6,0.81,0.29,10.0,13.0,0.0344,5.59,0.0,,repeatable
testing,LAZY_FULL,Lazy Access 100%,lazy,lower,13.0,1.13,1.0,1.13,ticks,50,10,3,3,3,12.0,14.0,30,13.33,1.32,0.47,12.0,16.0,0.26,7.69,0.0,,repeatable
testing,LAZY_HALF,Lazy Access 50%,lazy,lower,6.33,0.65,0.58,0.65,ticks,50,10,3,3,3,6.0,7.0,30,6.43,0.82,0.29,5.0,9.0,0.1266,9.12,0.0,,repeatable
testing,LAZY_SPARSE,Lazy Access 1%,lazy,lower,10.33,1.73,1.53,1.73,ticks,2400,10,3,3,3,9.0,12.0,30,10.67,1.4,0.5,9.0,15.0,0.0043,14.78,0.0,,"high_variation,repeatable"
testing,MMAP_FULL,mmap Access 100%,mmap,lower,14.33,4.57,4.04,4.57,ticks,50,10,3,3,3,12.0,19.0,30,15.07,3.63,1.3,12.0,24.0,0.2866,28.2,1.0,,"high_variation,repeatable"
testing,MMAP_SPARSE,mmap Access 1%,mmap,lower,11.67,1.73,1.53,1.73,ticks,2400,10,3,3,3,10.0,13.0,30,12.1,1.88,0.67,10.0,16.0,0.0049,13.09,0.67,,"high_variation,repeatable"
testing,SCHED_CONVOY_FCFS,Convoy FCFS,scheduler,lower,24.0,7.84,6.93,7.84,ticks,4,10,3,3,3,20.0,32.0,30,24.2,5.79,2.07,19.0,35.0,6.0,28.87,0.0,,"high_variation,repeatable,scheduler"
testing,SCHED_CONVOY_RR,Convoy RR,scheduler,lower,11.33,4.57,4.04,4.57,ticks,4,10,3,3,3,9.0,16.0,30,11.7,3.43,1.23,9.0,19.0,2.8325,35.66,0.0,,"high_variation,repeatable,scheduler"
testing,SCHED_CONVOY_SRTF,Convoy SRTF,scheduler,lower,21.33,2.61,2.31,2.61,ticks,4,10,3,3,3,20.0,24.0,30,21.73,2.2,0.79,19.0,27.0,5.3325,10.83,0.0,,"high_variation,repeatable,scheduler"
testing,SCHED_FAIRNESS_CFS,Fairness CFS,scheduler,lower,541.0,82.2,72.64,82.2,bp,3,10,3,3,3,458.0,593.0,30,535.03,243.84,87.26,0.0,1052.0,180.3333,13.43,154.33,,"high_variation,repeatable,scheduler"
testing,SCHED_FAIRNESS_PRIORITY,Fairness PRIORITY,scheduler,lower,10518.33,410.42,362.69,410.42,bp,3,10,3,3,3,10118.0,10825.0,30,10520.03,554.43,198.4,9230.0,11666.0,3506.11,3.45,242.67,,"repeatable,scheduler"
testing,SCHED_FAIRNESS_RR,Fairness RR,scheduler,lower,531.33,14.37,12.7,14.37,bp,3,10,3,3,3,524.0,546.0,30,564.33,204.98,73.35,400.0,1250.0,177.11,2.39,125.67,,"repeatable,scheduler"
testing,SCHED_RESPONSE_MLFQ,Response MLFQ,scheduler,lower,5.0,0.0,0.0,0.0,ticks,6,10,3,3,3,5.0,5.0,30,5.17,0.53,0.19,4.0,7.0,0.8333,0.0,0.0,,"repeatable,scheduler"
testing,SCHED_RESPONSE_RR,Response RR,scheduler,lower,11.67,3.27,2.89,3.27,ticks,6,10,3,3,3,10.0,15.0,30,12.4,2.81,1.01,10.0,21.0,1.945,24.74,0.33,,"high_variation,repeatable,scheduler"
testing,SCHED_THROUGHPUT_FCFS,Throughput FCFS,scheduler,lower,37.67,4.57,4.04,4.57,ticks,6,10,3,3,3,34.0,42.0,30,38.57,3.86,1.38,34.0,47.0,6.2783,10.73,2.0,,"high_variation,repeatable,scheduler"
testing,SCHED_THROUGHPUT_RR,Throughput RR,scheduler,lower,18.33,2.85,2.52,2.85,ticks,6,10,3,3,3,16.0,21.0,30,18.73,2.41,0.86,16.0,25.0,3.055,13.73,0.33,,"high_variation,repeatable,scheduler"
testing,SCHED_THROUGHPUT_SJF,Throughput SJF,scheduler,lower,39.67,9.42,8.33,9.42,ticks,6,10,3,3,3,33.0,49.0,30,40.37,7.92,2.84,33.0,62.0,6.6117,20.99,1.67,,"high_variation,repeatable,scheduler"
testing,SYS_FREE_PAGES,Free Physical Pages,system,higher,32417.0,0.0,0.0,0.0,pages,1,1,3,3,3,32417.0,32417.0,0,,0.0,0.0,,,32417.0,0.0,0.0,,repeatable
testing,SYS_TOTAL_PAGES,Total Physical Pages,system,higher,32768.0,0.0,0.0,0.0,pages,1,1,3,3,3,32768.0,32768.0,0,,0.0,0.0,,,32768.0,0.0,0.0,,repeatable
