branch,run_id,run_status,source_kind,manifest_commit,manifest_command,source_path,test,label,category,avg,std,unit,batch,runs,sample_count,sample_values
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,BUDDY_FRAGMENT,Buddy Max Allocation,buddy,16384.0,0.0,kb,1,1,0,
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,COW_FULLWRITE,COW Write 100%,cow,12.0,1.0,ticks,20,10,10,"11,12,12,12,13,13,13,14,14,14"
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,COW_NO_ACCESS,COW No Access,cow,174.0,20.0,ticks,300,10,10,"146,147,162,164,164,165,194,195,208,209"
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,COW_PARTIAL,COW Write 30%,cow,11.0,1.0,ticks,20,10,10,"9,11,11,12,12,12,12,12,13,15"
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,COW_READONLY,COW Read Only,cow,203.0,7.0,ticks,300,10,10,"193,195,198,198,200,203,205,206,219,228"
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,LAZY_FULL,Lazy Access 100%,lazy,4.0,0.0,ticks,50,10,10,"4,4,4,4,4,4,4,4,5,5"
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,LAZY_HALF,Lazy Access 50%,lazy,4.0,0.0,ticks,50,10,10,"4,4,4,4,5,5,5,5,5,5"
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,LAZY_SPARSE,Lazy Access 1%,lazy,244.0,28.0,ticks,2400,10,10,"213,217,218,223,224,239,273,275,287,293"
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,SYS_FREE_PAGES,Free Physical Pages,system,32563.0,0.0,pages,1,1,0,
baseline,run01,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run01_clean.log,SYS_TOTAL_PAGES,Total Physical Pages,system,32734.0,0.0,pages,1,1,0,
